Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
17.11.2025,12:42:39.305,29.907,26.553,19.048,3.017,250.0,250.0,73.343,12.564,8.703,32.776,25.734,15.951,9.783,15.756,5.844,0.596,5.248,5.248,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:40.307,36.704,26.196,18.793,3.022,250.0,250.0,54.940,37.898,8.765,79.289,54.321,33.687,20.634,33.286,19.372,5.147,14.225,110.250,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:41.308,28.547,25.046,17.640,2.981,250.0,250.0,74.731,20.688,8.741,63.814,44.806,27.786,17.020,27.445,5.959,0.609,5.350,5.350,0.001,0.000,1.375,0.375,31.0,
17.11.2025,12:42:42.311,16.313,25.424,17.970,2.999,250.0,250.0,72.437,20.680,8.736,63.923,44.856,27.813,17.043,27.472,5.854,0.606,5.248,5.248,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:43.316,21.750,26.524,19.112,2.993,250.0,250.0,75.502,27.581,8.763,64.847,45.439,28.185,17.254,27.844,39.008,4.714,34.294,5.461,0.000,0.000,2.000,1.000,31.0,
17.11.2025,12:42:44.304,20.391,26.813,19.389,3.021,250.0,250.0,73.018,20.683,8.789,63.812,44.830,27.798,17.032,27.469,5.904,0.613,5.291,5.291,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:45.318,27.188,26.480,19.111,2.962,250.0,250.0,67.963,25.819,8.740,46.094,33.892,21.024,12.868,20.769,5.882,0.676,5.206,103.043,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:46.316,20.391,24.879,17.494,2.958,250.0,250.0,67.628,12.359,8.755,32.001,25.274,15.673,9.601,15.490,5.796,0.590,5.206,5.206,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:47.316,25.829,24.779,17.401,2.934,250.0,250.0,71.579,15.966,8.705,45.546,33.629,20.856,12.773,20.600,6.063,0.637,5.426,5.426,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:48.314,25.829,24.837,17.357,3.085,250.0,250.0,58.074,43.624,8.717,67.145,46.816,29.023,17.793,28.670,116.242,33.356,82.886,5.588,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:49.310,27.188,26.536,19.054,3.011,250.0,250.0,73.397,21.855,8.706,68.483,47.643,29.541,18.102,29.189,5.825,0.594,5.231,5.231,0.000,0.000,2.125,0.000,31.0,
17.11.2025,12:42:50.304,35.344,30.676,22.704,3.480,250.0,250.0,77.424,21.856,8.756,68.351,47.606,29.520,18.086,29.155,5.893,0.602,5.291,5.299,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:51.304,20.391,29.528,21.762,3.297,250.0,250.0,74.246,57.159,8.763,88.052,59.724,37.027,22.697,36.578,6.225,0.853,5.372,306.302,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:52.304,23.110,27.529,20.066,3.030,250.0,250.0,74.729,22.120,8.731,69.408,48.243,29.916,18.327,29.552,5.863,0.597,5.266,5.299,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:53.319,21.750,26.473,19.052,2.970,250.0,250.0,77.686,39.721,8.726,68.936,47.938,29.730,18.208,29.366,94.344,22.546,71.798,5.614,0.000,0.000,0.000,0.000,31.0,
17.11.2025,12:42:54.317,24.469,25.961,18.520,2.996,250.0,250.0,74.759,22.222,8.744,69.781,48.485,30.069,18.416,29.704,5.870,0.604,5.266,5.282,0.000,0.000,0.000,1.250,31.0,
