Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
11.11.2025,14:54:29.063,101.955,115.985,107.250,4.015,250.0,250.0,332.535,69.697,12.560,188.495,123.412,76.529,46.883,75.597,79.149,17.784,61.365,15.200,0.000,0.000,1.750,0.500,20.0,
11.11.2025,14:54:30.059,23.110,64.366,56.215,3.488,250.0,250.0,202.287,31.010,12.616,89.073,63.066,39.100,23.966,38.634,14.918,1.108,13.810,13.810,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:54:31.056,97.876,107.386,98.864,3.846,250.0,250.0,171.851,159.610,13.516,336.657,215.246,133.468,81.778,131.862,196.242,52.734,143.507,291.091,0.000,0.001,2.250,1.250,20.0,
11.11.2025,14:54:32.057,103.314,120.900,112.181,3.996,250.0,250.0,342.035,207.422,14.322,337.097,215.998,133.935,82.063,132.318,226.858,61.339,165.519,704.772,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:54:33.065,100.595,121.165,112.383,4.003,250.0,250.0,341.184,152.313,15.114,331.441,213.015,132.092,80.923,130.499,216.774,59.868,156.906,186.500,0.000,0.000,0.000,0.000,20.0,
11.11.2025,14:54:34.055,54.376,119.759,111.013,4.003,250.0,250.0,342.826,138.498,14.905,320.796,206.360,127.966,78.394,126.420,200.404,53.907,146.497,109.331,0.000,0.000,0.375,0.000,20.0,
11.11.2025,14:54:35.064,16.313,110.516,101.789,3.989,250.0,250.0,341.063,131.299,13.765,325.931,208.756,129.447,79.309,127.877,205.573,55.507,150.066,16.755,0.000,0.000,1.125,0.875,20.0,
11.11.2025,14:54:36.059,104.673,158.580,149.774,4.071,250.0,250.0,306.529,80.982,12.682,203.146,132.382,82.092,50.290,81.100,100.510,22.820,77.690,47.113,0.000,0.000,2.250,0.000,20.0,
11.11.2025,14:54:37.058,28.547,53.918,45.882,3.436,250.0,250.0,177.673,113.590,12.433,270.509,173.916,107.848,66.068,106.541,191.640,52.226,139.414,15.307,0.000,0.000,0.000,0.375,20.0,
11.11.2025,14:54:38.064,99.236,126.039,117.329,3.994,250.0,250.0,259.253,154.965,12.806,340.088,216.895,134.494,82.401,132.876,255.320,70.649,184.671,119.448,0.000,0.000,0.000,1.125,20.0,
11.11.2025,14:54:39.055,108.752,113.025,104.055,4.145,250.0,250.0,338.513,135.055,13.140,317.741,203.411,126.133,77.278,124.611,211.377,58.400,152.977,65.487,0.000,0.001,2.250,1.375,20.0,
