Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","나머지 칩 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
6.11.2025,18:16:57.832,19.032,29.944,22.935,3.061,250.0,250.0,69.668,21.635,8.764,63.190,44.443,27.556,16.887,27.227,12.237,1.811,10.426,3.804,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:58.835,20.391,29.739,22.691,3.078,250.0,250.0,65.815,20.442,8.767,64.829,45.471,28.188,17.283,27.846,4.143,0.432,3.711,3.746,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:16:59.832,20.391,25.784,18.896,2.981,250.0,250.0,69.305,10.721,8.708,27.513,22.475,13.931,8.544,13.759,4.279,0.441,3.838,3.720,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:0.827,17.672,24.530,17.632,2.999,250.0,250.0,65.943,20.790,8.742,66.154,46.283,28.704,17.579,28.350,4.159,0.431,3.728,3.771,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:1.839,23.110,28.247,21.316,3.011,250.0,250.0,68.439,14.008,8.719,40.010,30.170,18.703,11.467,18.483,4.404,0.454,3.950,3.720,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:2.838,14.953,26.551,19.652,2.981,250.0,250.0,66.566,20.138,8.768,63.630,44.730,27.738,16.992,27.397,4.176,0.430,3.746,3.771,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:3.834,20.391,25.445,18.513,2.978,250.0,250.0,69.029,20.025,8.766,63.249,44.478,27.579,16.899,27.238,4.157,0.429,3.728,3.728,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:4.836,20.391,28.000,21.108,2.990,250.0,250.0,66.236,21.955,8.751,64.458,45.215,28.038,17.177,27.697,12.226,1.835,10.391,3.762,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:5.836,20.391,26.586,19.712,2.953,250.0,250.0,68.683,20.267,8.767,64.141,45.038,27.928,17.110,27.586,4.175,0.429,3.746,3.746,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:6.827,27.188,27.460,20.520,2.985,250.0,250.0,65.957,21.972,8.731,64.472,45.223,28.039,17.184,27.697,12.287,1.821,10.466,3.797,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:7.827,25.829,25.719,18.881,2.941,250.0,250.0,69.108,20.461,8.744,64.901,45.497,28.213,17.284,27.872,4.176,0.430,3.746,3.746,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:8.838,16.313,27.109,20.055,3.101,250.0,250.0,66.009,20.108,8.724,63.517,44.623,27.664,16.959,27.335,4.233,0.445,3.788,3.788,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:9.834,23.110,27.489,20.580,2.959,250.0,250.0,68.826,37.515,8.748,62.928,44.262,27.452,16.810,27.123,92.002,22.115,69.887,3.822,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:10.834,17.672,26.913,20.028,2.977,250.0,250.0,68.898,20.113,8.749,63.556,44.668,27.693,16.975,27.364,4.186,0.432,3.754,3.754,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:11.837,17.672,27.557,20.627,2.991,250.0,250.0,65.433,44.210,8.737,65.656,45.964,28.500,17.464,28.159,121.903,34.151,87.752,3.813,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:12.829,23.110,25.748,18.858,2.966,250.0,250.0,69.007,20.164,8.724,63.774,44.762,27.762,17.000,27.421,4.203,0.432,3.771,3.788,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:13.831,33.985,25.548,18.684,2.945,250.0,250.0,65.898,13.525,8.720,37.940,28.885,17.917,10.968,17.697,4.345,0.447,3.898,4.435,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:14.832,17.672,28.175,21.154,3.066,250.0,250.0,65.488,20.166,8.736,63.725,44.753,27.746,17.007,27.417,4.232,0.444,3.788,3.813,0.000,0.000,0.000,0.000,10.0,
6.11.2025,18:17:15.830,25.829,26.926,20.100,2.960,250.0,250.0,69.253,20.424,8.749,34.013,26.463,16.413,10.050,16.218,4.342,0.504,3.838,83.650,0.000,0.000,0.000,0.000,10.0,
