Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
16.11.2025,17:54:32.840,25.829,88.874,80.303,3.918,0.000,250.0,250.0,169.594,29.963,12.339,86.318,61.184,37.937,23.247,37.483,14.067,1.047,13.020,12.986,0.000,0.375,0.000,9.0,
16.11.2025,17:54:33.836,107.392,94.542,85.656,4.132,0.000,250.0,250.0,99.250,15.703,11.783,35.485,29.322,18.182,11.140,17.962,13.912,1.033,12.879,5.329,0.000,2.125,1.125,9.0,
16.11.2025,17:54:34.844,27.188,56.557,48.528,3.503,0.000,250.0,250.0,51.828,13.652,12.362,33.534,28.468,17.650,10.818,17.442,5.632,0.602,5.030,4.977,0.000,0.000,0.000,9.0,
16.11.2025,17:54:35.838,112.830,48.890,40.964,3.459,0.000,250.0,250.0,49.939,132.193,13.253,339.033,217.684,134.973,82.711,133.345,165.803,69.496,96.307,69.324,0.000,1.375,0.500,9.0,
16.11.2025,17:54:36.846,118.267,139.140,130.140,4.160,0.000,250.0,250.0,302.192,87.777,13.321,123.630,84.572,52.438,32.134,51.804,114.034,47.092,66.942,291.802,0.000,0.000,1.125,39.0,
16.11.2025,17:54:37.836,110.111,171.574,162.199,4.477,0.000,250.0,250.0,331.624,138.021,12.849,174.220,115.325,71.513,43.812,70.649,233.616,106.858,126.758,424.607,0.000,2.500,1.125,39.0,
16.11.2025,17:54:38.837,115.549,177.871,168.362,4.451,0.000,250.0,250.0,282.051,129.025,12.254,184.758,121.467,75.320,46.147,74.420,293.633,132.461,161.172,188.621,0.000,0.000,2.500,39.0,
16.11.2025,17:54:39.840,110.111,178.226,168.791,4.453,0.000,250.0,250.0,291.570,179.789,12.237,309.818,198.407,123.033,75.374,121.545,413.282,133.894,279.388,130.912,0.000,0.500,1.750,39.0,
16.11.2025,17:54:40.839,106.033,165.966,156.540,4.431,0.000,250.0,250.0,287.426,98.624,12.581,348.234,222.274,137.826,84.448,136.170,15.303,1.195,14.108,14.105,0.000,0.375,2.250,39.0,
16.11.2025,17:54:41.835,114.189,175.467,166.003,4.468,0.000,250.0,250.0,281.074,72.843,12.758,248.263,160.630,99.596,61.034,98.396,16.324,1.217,15.107,15.107,0.000,0.500,1.000,39.0,
