Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","나머지 칩 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]","T3 [°C]",
19.11.2025,19:6:32.257,16.313,41.751,33.911,3.349,250.0,250.0,70.105,29.974,8.869,64.779,45.467,28.192,17.275,27.851,51.397,7.261,44.136,4.518,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:33.257,19.032,28.804,21.131,3.194,250.0,250.0,70.555,21.176,8.833,66.726,46.647,28.922,17.725,28.581,4.944,0.510,4.434,4.434,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:34.257,31.266,31.785,24.184,3.167,250.0,250.0,74.840,20.636,8.859,64.583,45.337,28.109,17.228,27.769,5.001,0.526,4.475,4.475,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:35.257,17.672,27.225,19.659,3.117,250.0,250.0,70.064,21.074,8.785,66.361,46.404,28.776,17.628,28.424,4.962,0.520,4.442,4.442,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:36.256,21.750,26.523,19.002,3.102,250.0,250.0,72.050,22.933,8.733,44.308,32.772,20.320,12.452,20.077,10.356,2.431,7.925,69.959,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:37.267,28.547,29.881,22.348,3.079,250.0,250.0,70.637,20.444,8.781,63.921,44.864,27.820,17.044,27.491,5.015,0.523,4.492,4.492,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:38.269,24.469,28.080,20.535,3.110,250.0,250.0,69.569,20.586,8.807,64.483,45.240,28.046,17.194,27.706,4.968,0.518,4.450,4.450,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:39.257,28.547,24.815,17.233,3.096,250.0,250.0,72.994,36.777,8.795,56.544,40.346,25.025,15.321,24.721,96.137,30.726,65.411,4.739,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:40.261,25.829,27.721,20.172,3.121,250.0,250.0,70.260,20.590,8.856,64.420,45.221,28.049,17.172,27.708,4.999,0.524,4.475,4.475,0.000,0.000,0.000,0.000,20.0,
19.11.2025,19:6:41.268,17.672,27.183,19.608,3.118,250.0,250.0,69.945,20.606,8.791,64.592,45.297,28.085,17.212,27.745,4.948,0.506,4.442,4.442,0.000,0.000,0.000,0.000,20.0,
