Date,Time,"VR VCC 전류 (SVID IOUT) [A]","CPU 패키지 전력 소비 [W]","IA 코어 전력 소비 [W]","시스템 에이전트 전력 소비 [W]","나머지 칩 전력 소비 [W]","PL1 전력 제한 (Static) [W]","PL2 전력 제한 (Static) [W]","GPU 전력 소비 [W]","GPU 라인 전력 소비 (avg) [W]","GPU PCIe +12V 입력 전력 소비 [W]","GPU 12VHPWR 전력 소비 [W]","GPU Unknown Rail (D6) 전력 소비 (sum) [W]","GPU Core (NVVDD) 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D4) 전력 소비 (sum) [W]","GPU Misc0 입력 전력 소비 (sum) [W]","GPU Unknown Rail (D) 전력 소비 (sum) [W]","GPU Unknown Rail (10) 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","GPU Core (NVVDD) 출력 전력 소비 [W]","PCH 전력 소비 [W]","총 전력 소비 [W]","총 전력 소비 [W]",
11.11.2025,10:7:5.872,10.875,13.837,4.806,2.825,0.000,250.0,250.0,10.585,3.702,2.648,7.338,6.200,3.846,2.354,3.796,3.746,0.392,3.354,3.346,0.000,0.000,0.000,
11.11.2025,10:7:6.867,13.594,12.320,3.324,2.897,0.000,250.0,250.0,10.309,3.731,2.612,7.492,6.258,3.881,2.377,3.844,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:7.863,10.875,11.378,2.301,2.883,0.000,250.0,250.0,10.439,3.774,2.575,7.690,6.369,3.942,2.427,3.893,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:8.861,10.875,11.664,2.608,2.919,0.000,250.0,250.0,10.371,3.697,2.526,7.438,6.188,3.834,2.354,3.785,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:9.873,10.875,11.278,2.230,2.907,0.000,250.0,250.0,10.194,3.791,2.661,7.659,6.411,3.970,2.441,3.920,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:10.864,14.953,11.667,2.609,2.927,0.000,250.0,250.0,10.481,3.812,2.624,7.791,6.461,4.000,2.461,3.951,3.738,0.392,3.346,3.354,0.000,0.000,0.000,
11.11.2025,10:7:11.864,10.875,11.189,2.106,2.933,0.000,250.0,250.0,10.335,3.800,2.795,7.566,6.426,3.988,2.438,3.939,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:12.869,14.953,12.707,3.555,2.984,0.000,250.0,250.0,10.566,3.884,2.832,7.844,6.630,4.104,2.526,4.055,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:13.862,12.235,21.358,11.748,3.413,0.000,250.0,250.0,10.569,3.798,2.808,7.553,6.430,3.991,2.439,3.942,3.738,0.392,3.346,3.346,0.000,0.000,0.000,
11.11.2025,10:7:14.866,10.875,12.274,3.147,2.928,0.000,250.0,250.0,10.811,3.687,2.783,7.148,6.158,3.818,2.340,3.781,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:15.865,10.875,11.052,2.040,2.863,0.000,250.0,250.0,10.370,3.714,2.599,7.434,6.220,3.855,2.365,3.819,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:16.867,8.156,11.875,2.806,2.926,0.000,250.0,250.0,10.509,3.672,2.575,7.296,6.124,3.795,2.329,3.758,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:17.866,14.953,11.553,2.548,2.892,0.000,250.0,250.0,10.651,3.779,2.648,7.622,6.368,3.954,2.414,3.905,3.755,0.392,3.363,3.363,0.000,0.000,0.000,
11.11.2025,10:7:18.863,9.516,11.836,2.785,2.911,0.000,250.0,250.0,10.925,3.698,2.661,7.303,6.192,3.836,2.356,3.786,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
11.11.2025,10:7:19.862,6.797,11.314,2.297,2.891,0.000,250.0,250.0,10.542,3.646,2.575,7.198,6.061,3.758,2.303,3.721,3.746,0.392,3.354,3.354,0.000,0.000,0.000,
